kode,nama,lat,lng
21.05,Kabupaten Kepulauan Anambas,3.21455,106.2487
21.71,Kota Batam,1.12875,104.05533
21.72,Kota Tanjung Pinang,0.96534,104.44099
31.01,Kabupaten Administrasi Kepulauan Seribu,-5.74648,106.61316
31.71,Kota Administrasi Jakarta Pusat,-6.17291,106.8187
31.72,Kota Administrasi Jakarta Utara ,-6.12003,106.8925
31.73,Kota Administrasi Jakarta Barat,-6.18433,106.73662
31.74,Kota Administrasi Jakarta Selatan,-6.24778,106.80764
31.75,Kota Administrasi Jakarta Timur,-6.21369,106.94401
32.01,Kabupaten Bogor,-6.47948,106.82472
32.02,Kabupaten Sukabumi,-6.98916,106.55022
32.03,Kabupaten Cianjur,-6.82275,107.13948
32.04,Kabupaten Bandung,-7.02185,107.52755
32.05,Kabupaten Garut,-7.20267,107.88607
32.06,Kabupaten Tasikmalaya,-7.36104,108.11308
32.07,Kabupaten Ciamis,-7.3259,108.3514
32.08,Kabupaten Kuningan,-6.97586,108.4831
32.09,Kabupaten Cirebon,-6.76453,108.47862
32.10,Kabupaten Majalengka,-6.83627,108.22756
32.11,Kabupaten Sumedang,-6.8612,107.92062
32.12,Kabupaten Indramayu,-6.32708,108.32321
32.13,Kabupaten Subang,-6.57129,107.76235
32.14,Kabupaten Purwakarta,-6.55621,107.44126
32.15,Kabupaten Karawang,-6.30162,107.30488
32.16,Kabupaten Bekasi,-6.24745,107.14845
32.17,Kabupaten Bandung Barat,-6.86522,107.49198
32.18,Kabupaten Pangandaran,-7.61506,108.49883
32.71,Kota Bogor,-6.59506,106.79411
32.72,Kota Sukabumi,-6.91762,106.93186
32.73,Kota Bandung,-6.91066,107.60987
32.74,Kota Cirebon,-6.70674,108.55825
32.75,Kota Bekasi,-6.23601,106.99425
32.76,Kota Depok,-6.39417,106.82269
32.77,Kota Cimahi,-6.87081,107.55516
32.78,Kota Tasikmalaya,-7.31605,108.19701
32.79,Kota Banjar,-7.36216,108.55959
33.01,Kabupaten Cilacap,-7.7256,109.00954
33.02,Kabupaten Banyumas,-7.4228,109.23008
33.03,Kabupaten Purbalingga,-7.38881,109.36408
33.04,Kabupaten Banjarnegara,-7.3957,109.69607
33.05,Kabupaten Kebumen,-7.66844,109.65372
33.06,Kabupaten Purworejo,-7.71397,110.0083
33.07,Kabupaten Wonosobo,-7.35833,109.90516
33.08,Kabupaten Magelang,-7.59698,110.22353
33.09,Kabupaten Boyolali,-7.54566,110.6106
33.10,Kabupaten Klaten,-7.71239,110.59214
33.11,Kabupaten Sukoharjo,-7.6646,110.83587
33.12,Kabupaten Wonogiri,-7.81506,110.92568
33.13,Kabupaten Karanganyar,-7.59552,110.93964
33.14,Kabupaten Sragen,-7.42635,111.02318
33.15,Kabupaten Grobogan,-7.08206,110.91737
33.16,Kabupaten Blora,-6.96972,111.41492
33.17,Kabupaten Rembang,-6.70347,111.34262
33.18,Kabupaten Pati,-6.75223,111.03995
33.19,Kabupaten Kudus,-6.80565,110.8422
33.20,Kabupaten Jepara,-6.59009,110.66813
33.21,Kabupaten Demak,-6.89135,110.63839
33.22,Kabupaten Semarang,-7.12896,110.40409
33.23,Kabupaten Temanggung,-7.31532,110.18189
33.24,Kabupaten Kendal,-6.92284,110.20357
33.25,Kabupaten Batang,-6.91071,109.72968
33.26,Kabupaten Pekalongan,-7.02504,109.59115
33.27,Kabupaten Pemalang,-6.89315,109.38072
33.28,Kabupaten Tegal,-6.99541,109.12789
33.29,Kabupaten Brebes,-6.87011,109.03921
33.71,Kota Magelang,-7.50371,110.22147
33.72,Kota Surakarta,-7.56926,110.82946
33.73,Kota Salatiga,-7.33044,110.50083
33.74,Kota Semarang,-6.98168,110.41223
33.75,Kota Pekalongan,-6.89695,109.66208
33.76,Kota Tegal,-6.87041,109.13742
34.01,Kabupaten Kulon Progo,-7.85781,110.15916
34.02,Kabupaten Bantul,-7.88619,110.32784
34.03,Kabupaten Gunungkidul,-7.96408,110.60154
